recipe,index,image,text
BBQ RIBS,2,/images/recipe/bbq ribs/ingr.png,
BBQ RIBS,3,/images/recipe/bbq ribs/1.png,"Start by making the rub. Mix together 1 tbsp garlic powder, 1 tbsp chili powder, 1 tbsp cayenne pepper, 1 tbsp spanish paprika, 1 tbsp celery salt, 1 tbsp kosher salt, 1 tbsp black pepper, 1 tbsp onion powder, 1 tbsp ground cumin, and 1/4 cup of brown sugar."
BBQ RIBS,4,/images/recipe/bbq ribs/2.png,"Once mixed, lay out the baby back ribs on a dry surface. Season the ribs with all of the rub mix. Give the ribs a good rub on both sides."
BBQ RIBS,5,/images/recipe/bbq ribs/3.png,"Heat the entire grill to high and began searing the ribs. Sear on each side for about 5 minutes, or until both sides have solid chard grill marks."
BBQ RIBS,6,/images/recipe/bbq ribs/4.png,"When both sides are seared, transfer the ribs to a baking sheet and turn half of the grill off and leave half on. Cover the pan of ribs loosely with foil and move to the off side of the grill. With the other side on high heat, close the grill to begin smoking"" the ribs. Temperature should remain approximately 400°F for at least 3 hours."""
BBQ RIBS,7,/images/recipe/bbq ribs/5.png,Add about a cup of water to the rib pan every 20 minutes of so. This will prevent them from drying out.
BBQ RIBS,8,/images/recipe/bbq ribs/6.png,"After 3 hours of cooking, the ribs should be nice and tender. Place the rib back on the grill, slather both sides in your favorite BBQ, and let sear on each side for several minutes."
BBQ RIBS,9,/images/recipe/bbq ribs/7.png,"Remove ribs from heat, give them a final slather in BBQ, slice them every 1-3 ribs, and ENJOY some homemade rib goodness!"
HOMEMADE LOX,1,/images/recipe/homemade lox/image.png,
HOMEMADE LOX,2,/images/recipe/homemade lox/ingr.png,
HOMEMADE LOX,3,/images/recipe/homemade lox/1.png,"Finely chop a bunch of fennel fronds, dill, and tarragon."
HOMEMADE LOX,4,/images/recipe/homemade lox/2.png,Coat the Salmon in the chopped herbs. Give it a good rub and be sure to coat both sides.
HOMEMADE LOX,5,/images/recipe/homemade lox/3.png,"In a separate bawl, add 1/2 cup of sugar and 1/2 a cup of salt. Give it a good mix."
HOMEMADE LOX,6,/images/recipe/homemade lox/4.png,"Coat the Salmon filet thoroughly. Give it a good rub on both sides. Cover with plastic and let it sit overnight or for a least 12-24 hours. The longer it sits, the saltier it gets."
HOMEMADE LOX,7,/images/recipe/homemade lox/5.png,Rinse off the excess salt and sugar.
HOMEMADE LOX,8,/images/recipe/homemade lox/6.png,Pat dry the fillet.
HOMEMADE LOX,9,/images/recipe/homemade lox/7.png,Serve it with what your heart desires.
SWEET & SOUR GRILLED SEA BASS,1,/images/recipe/sweet and sour grilled sea bass/image.png,
SWEET & SOUR GRILLED SEA BASS,2,/images/recipe/sweet and sour grilled sea bass/ingr.png,
SWEET & SOUR GRILLED SEA BASS,3,/images/recipe/sweet and sour grilled sea bass/1.png,"Slice fish into thick strips, or large cubes depending on the cut of fish."
SWEET & SOUR GRILLED SEA BASS,4,/images/recipe/sweet and sour grilled sea bass/2.png,"Add chunks to mixing bowl, along with 3 tbsp of olive oil, pinch of salt, 1 tsp cayenne pepper, 1 tsp paprika, 1 tsp lemon zest, a handful of chopped parsley, and 1 tsp grated garlic."
SWEET & SOUR GRILLED SEA BASS,5,/images/recipe/sweet and sour grilled sea bass/3.png,"Give this a good toss and then insert a skewer into each chunk. NOTE: if using wooden skewers over an open flames, soak them in water for at least 30 minutes to prevent them from charing."
SWEET & SOUR GRILLED SEA BASS,6,/images/recipe/sweet and sour grilled sea bass/4.png,"Set the sea bass aside, and begin making the pairing sauce. Start by heating a small sauce pan to medium heat. Add 3 tbsp mirin, 2 tbsp sherry vinegar, 2 tbsp rice wine vinegar, 2 tbsp soy sauce, 2 tsp grated ginger, and 1 tbsp brown sugar. Let this reduce for about 10 minutes and remove from heat."
SWEET & SOUR GRILLED SEA BASS,7,/images/recipe/sweet and sour grilled sea bass/5.png,Grill fish for about 2-3 minutes on each side—flipping accordingly.
SWEET & SOUR GRILLED SEA BASS,8,/images/recipe/sweet and sour grilled sea bass/6.png,"Remove fish from grill and plate. Top with a healthy drizzle of the sweet and sour glaze, edible flowers are optional, and ENJOY!"
AHI POKE,1,/images/recipe/ahi poke/image.png,
AHI POKE,2,/images/recipe/ahi poke/ingr.png,
AHI POKE,3,/images/recipe/ahi poke/1.png,Start off by cleaning and dicing the Tuna Loin into small and even cubes.
AHI POKE,4,/images/recipe/ahi poke/2.png,Chop one stalk of chives and add to a mixing bowl along with the ahi tuna.
AHI POKE,5,/images/recipe/ahi poke/3.png,"Add 1 tbsp grated ginger, 3-4 tbsp of sesame oil, 1 tsp cayenne pepper, 1 tsp paprika, 1 tsp lime zest, 1 tbsp soy sauce, and 1 tbsp rice wine vinegar. Give this a good toss and set aside to marinate for about 15 minutes."
AHI POKE,6,/images/recipe/ahi poke/4.png,"Make the relish topping by adding 2 tbsp minced red onion, 3 tbsp minced celery, 3 tbsp minced cucumber, 2 tbsp rice wine vinegar, 3-4 tbsp olive oil, 2 tsp chili flakes, 1 tbsp chopped cilantro, and a pinch of salt—to a small bowl. Give it a good mix."
AHI POKE,7,/images/recipe/ahi poke/5.png,"Plate the marinated ahi tuna as you desire. I wanted to use a ring mold to give it some shape, but you could simply use a bowl or plate."
AHI POKE,8,/images/recipe/ahi poke/6.png,"Top with the green vegetable relish, a few drizzles of soy sauce, some cilantro leaves, and shaved cashew. Enjoy!"
POTATO GNOCCHI,1,/images/recipe/potato gnocchi/image.png,
POTATO GNOCCHI,2,/images/recipe/potato gnocchi/ingr.png,
POTATO GNOCCHI,3,/images/recipe/potato gnocchi/1.png,"First up, start by taking two russet potatoes over a sheet of foil and season them with a pinch off salt. Wrap them in the foil and bake them in the oven for 90 minutes at 375ºF."
POTATO GNOCCHI,4,/images/recipe/potato gnocchi/2.png,"After 90 minutes, remove them from the oven and unwrap the foil. Once the potatoes are cool enough to handle, use a pairing knife to peel the skins. Using a large mesh strainer, pressed the potatoes through the strainer. This will leave you with the base of your Gnocchi dough."
POTATO GNOCCHI,5,/images/recipe/potato gnocchi/3.png,Shred in about a 1/2 cup of Parmesan Cheese. Add 2-3 egg yolks and gently fold in the ingredients.
POTATO GNOCCHI,6,/images/recipe/potato gnocchi/4.png,"Altogether you will add about 1 cup of flour, but you want to do this a 1/3 cup at a time, kneading the dough for about 2 minutes in between adding more flour. Continue to add the flour until you have reached a cup's worth and knead until you have a fully blended dough."
POTATO GNOCCHI,7,/images/recipe/potato gnocchi/5.png,"Give your board a good flour to avoid the dough from sticking. Cut the dough into quarters and roll each quarter out to about 3/4 in thickness."""
POTATO GNOCCHI,8,/images/recipe/potato gnocchi/6.png,Cut each strip into even bite-sized pieces.
POTATO GNOCCHI,9,/images/recipe/potato gnocchi/7.png,"Using a Gnocchi board or fork, gently press each pillow of dough into the board and let it roll down the board and over your finger. This creates grooves in the gnocchi that will help hold the sauce we'll be using towards the end."
POTATO GNOCCHI,10,/images/recipe/potato gnocchi/8.png,"Add the Gnocchi to pot of salted boiling water. Cook for about 5 mins, or until the gnocchi has floated to the top of the water."
POTATO GNOCCHI,11,/images/recipe/potato gnocchi/9.png,"Once the Gnocchi is done cooking, add the strained dumplings to a pan on high heat, along with a couple knobs of butter to grease the pan. Give these a good saute until they are golden brown. Add 2 tbsp of chopped parsley, 2-3 tbsp of pine nuts, half a squeezed lemon, give that a quick toss, and you are ready to plate."
POTATO GNOCCHI,12,/images/recipe/potato gnocchi/10.png,"Top it off with some fresh parmesan, a dash of chopped chives, and there you have it. Serve and enjoy!"
THE LOADED BAKED POTATO,1,/images/recipe/the loaded baked potato/image.png,
THE LOADED BAKED POTATO,2,/images/recipe/the loaded baked potato/ingr.png,
THE LOADED BAKED POTATO,3,/images/recipe/the loaded baked potato/1.png,"Start by taking the end of a fork to gently poke holes throughout a large Idaho Potato. Chop up a handful of Rosemary and Parsley. Coat the potato(es) with olive oil, a pinch of salt, and the chopped herbs. Give the Potato(es) a nice seasoned rub. Baked the Potato(es) at 375°F for one hour."
THE LOADED BAKED POTATO,4,/images/recipe/the loaded baked potato/2.png,"Once the potato(es) are slightly crisp and fork tender, remove them from the oven. Split them open with a knife."
THE LOADED BAKED POTATO,5,/images/recipe/the loaded baked potato/3.png,"Push the ends inward to gently open the Potato. Using a fork, fluff the inside of the Potato(es)."
THE LOADED BAKED POTATO,6,/images/recipe/the loaded baked potato/4.png,"Top with Parsley, Rosemary, few pads of butter, a hearty helping of Sharp Cheddar Cheese, and then put them back into the 375°F oven for 3-4 minutes."
THE LOADED BAKED POTATO,7,/images/recipe/the loaded baked potato/5.png,"Chop up a few stalks of chives. When the cheese is nice and melted on top of the Potato(es), remove them from the oven."
THE LOADED BAKED POTATO,8,/images/recipe/the loaded baked potato/6.png,"Time to top as you like! For me I started with caramelized onions, homemade Bacon Bits, a few dollops of sour cream, and the chives we chopped up earlier. Serve and enjoy!"
CRAB CAKES,1,/images/recipe/crab cakes/image.png,
CRAB CAKES,2,/images/recipe/crab cakes/ingr.png,
CRAB CAKES,3,/images/recipe/crab cakes/1.png,"In a medium size mixing bowl whisk together one egg yolk, 1 tbsp of white wine vinegar, and a pinch of salt. Slowly drizzle in 1 cup of canola oil while whisking until the mixture becomes very thick and pale. Refrigerate until ready to use."
CRAB CAKES,4,/images/recipe/crab cakes/2.png,"In a separate medium size mixing bowl add 1 tbsp of chopped tarragon, 1 tbsp chopped cilantro, 1 tbsp minced red jalapeño, 2 tbsp minced red onion, 2 cups toasted bread crumbs, 3/4 cup of lump blue crab, 1 egg yolk, 1 tbsp lime juice, and 2-3 tbsp of mayonnaise. Mix until thoroughly combined."
CRAB CAKES,5,/images/recipe/crab cakes/3.png,Line a baking tray or a large plate with 2 cups of toasted bread crumbs as evenly as possible and place a 4 inch ring mold on the tray.
CRAB CAKES,6,/images/recipe/crab cakes/4.png,Begin molding the crab mix into the ring mold and then firmly press the bread crumbs into the “cake” making sure to coat it on all sides.
CRAB CAKES,7,/images/recipe/crab cakes/5.png,"Pour 3 tbsp of canola oil into a large nonstick pan thats on medium heat. Let the oil heat up for about 1 minute, then begin pan frying the crab cakes. It shouldn’t take any longer than 5-6 minutes on each side, but just make sure that the bread crumbs are golden brown and the center of the crab cake is hot."
CRAB CAKES,8,/images/recipe/crab cakes/6.png,"In a small mixing bowl, whisk together 4 tbsps of fresh mayo with 2 tsps of smoked paprika, 1 tsp cayenne pepper, 2 tsp of lime juice, and a pinch of salt. Smear a dollop or so of the spicy aioli onto a plate and place a crispy crab cake right on top. Top the crab cake with a simple salad of arugula sprouts (any sprouts will do), shaved radish, shaved red onion, and a drizzle of olive oil."
BROWN BUTTER PUMPKIN TORTELLINI,1,/images/recipe/butter pumpkin tortellini/image.png,
BROWN BUTTER PUMPKIN TORTELLINI,2,/images/recipe/butter pumpkin tortellini/ingr.png,
BROWN BUTTER PUMPKIN TORTELLINI,3,/images/recipe/butter pumpkin tortellini/1.png,"Quarter a medium sized (3-4lb) pumpkin and remove the seeds. Place the quartered pumpkin onto a baking tray and drizzle 1-2 Tbsp of olive oil over the top, season with a pinch of salt and fresh cracked black pepper,"
BROWN BUTTER PUMPKIN TORTELLINI,4,/images/recipe/butter pumpkin tortellini/2.png,Ccover with aluminum foil and bake in a 450f oven for 1-2 hours.
BROWN BUTTER PUMPKIN TORTELLINI,5,/images/recipe/butter pumpkin tortellini/3.png,"In a medium size mixing bowl whisk together 4 egg yolks, 1 Tbsp of olive oil, and a pinch salt. Add the 1 cup of flour to the egg mixture and begin mixing it together with a fork or wooden spoon. Add the remainder of the flour until the mixture is slightly tacky, but not sticky."
BROWN BUTTER PUMPKIN TORTELLINI,6,/images/recipe/butter pumpkin tortellini/4.png,Pour the loose dough onto a counter top and begin working it together with your hands until it form into a smooth ball of dough. Vigorously knead the dough for 5 minutes then cover with plastic and set aside until ready to use.
BROWN BUTTER PUMPKIN TORTELLINI,7,/images/recipe/butter pumpkin tortellini/5.png,"Once the quartered pumpkin is very tender and the outside of the skin has a deep roasted color, pull it out of the oven and remove the meat from the skin and place it into a large mixing bowl. Add 2 egg yolks, 1/4 cup of grated parmesan, 1/4 cup of ricotta cheese (optional), 1 tbsp sliced sage, 1 tsp ground nutmeg, and a pinch of salt and pepper. Mix until the all of the ingredients are thoroughly combined and the mixture is relatively smooth. Transfer the filling into a piping bag and reserve until ready to use."
BROWN BUTTER PUMPKIN TORTELLINI,8,/images/recipe/butter pumpkin tortellini/6.png,Roll the pasta dough into very thin sheets with a pasta machine and/or rolling pin and cut out 4-5 inch circles from the sheets with a ring cutter. Remove the excess dough.
BROWN BUTTER PUMPKIN TORTELLINI,9,/images/recipe/butter pumpkin tortellini/7.png,Dollop 2 Tbsp of pumpkin filling into the center of the pasta rounds. Rub a small amount of water around the edges of the pasta and fold the pasta over the filling into a half moon shape.
BROWN BUTTER PUMPKIN TORTELLINI,10,/images/recipe/butter pumpkin tortellini/8.png,"Next seal the edges of the pasta so that no filling can escape, then wrap one edge of the pasta around your index finger creating a plump center bulge. Press the ends together and repeat until all of the tortellinis are formed."
BROWN BUTTER PUMPKIN TORTELLINI,11,/images/recipe/butter pumpkin tortellini/9.png,Get a pot of boiling salted water going and cook the tortellinis for 5-7 minutes.
BROWN BUTTER PUMPKIN TORTELLINI,12,/images/recipe/butter pumpkin tortellini/10.png,"Add 3 Tbsp of butter to a large nonstick sauté pan on medium-high heat and begin browning the butter. Next toast 2 Tbsp of pine nuts in the brown butter, add the cooked/strained tortellinis, the juice of half a lemon, and a pinch of salt and pepper."
BROWN BUTTER PUMPKIN TORTELLINI,13,/images/recipe/butter pumpkin tortellini/11.png,"Plate the tortellinis in a small shallow bowl, top with fresh herbs, a spoonful of the brown butter and toasted pine nuts, and freshly grated parmesan cheese. ENJOY!!"
DUCK CONFIT,1,/images/recipe/duck confit/image.png,
DUCK CONFIT,2,/images/recipe/duck confit/ingr.png,
DUCK CONFIT,3,/images/recipe/duck confit/1.png,"In a medium mixing bowl, mix in 1/4 cup salt, 2 tbsp sugar, 1 crushed star anise, 2-3 tbsp chopped tarragon, 2-3 tbsp chopped italian parsley, 1 crushed clove of garlic, and 1 tbsp of fresh cracked black pepper. Vigorously mix everything with your hands making sure to almost crush the ingredients together."
DUCK CONFIT,4,/images/recipe/duck confit/2.png,"Add the duck legs to the seasoned salt mixture (curing salt) and thoroughly rub the flavorings into the skin and flesh sides. After 5 minutes or so of rubbing, cover the duck legs with the remaining curing salt,"
DUCK CONFIT,5,/images/recipe/duck confit/3.png,"cover with plastic or a damp towel, and set in the fridge for 30 minutes."
DUCK CONFIT,6,/images/recipe/duck confit/4.png,"Remove the lightly cured duck legs from the fridge, take them out of the curing salt and lightly rinse off the excess salt and flavorings. Place the duck legs onto a dry towel to blot off excess moisture."
DUCK CONFIT,7,/images/recipe/duck confit/5.png,"Place the cured duck legs into a 2-3 inch deep baking tray and cover the legs with rendered duck fat. Ideally, you want to completely submerge the legs in the rendered fat, but it can be hard to come by and fairly expensive, so it’s ok to supplement some of the duck fat for canola oil or even rendered chicken fat. Cover with a lid or aluminum foil and bake in a 300f oven for 2 hours."
DUCK CONFIT,8,/images/recipe/duck confit/6.png,"Once the duck legs are very tender, take them our of the oven and allow to cool in the baking container for 30 minutes – 1 hour. Once cool enough to handle, take them out of the fat and onto a plate or tray, cover with plastic, and refrigerate for 1 hour."
DUCK CONFIT,9,/images/recipe/duck confit/7.png,"Once the duck has chilled completely, get a medium sauté pan on medium-high heat and add one of the duck legs skin side down into the pan. Crisp the skin for 5 minutes or so, turn it over and continue to cook for another 5 minutes until the duck start to become tender and hot in the center. Take it out of the pan and place onto dry paper towel to blot of excess grease."
DUCK CONFIT,10,/images/recipe/duck confit/8.png,"In a small mixing bowl, add watercress, shaved fennel, whole grain mustard, sherry vinegar, olive oil, and season with a little salt and pepper."
DUCK CONFIT,11,/images/recipe/duck confit/9.png,Place the salad into a bowl and top with the crispy duck leg and ENJOY!!!
FRENCH ONION SOUP,1,/images/recipe/french onion soup/image.png,
FRENCH ONION SOUP,2,/images/recipe/french onion soup/ingr.png,
FRENCH ONION SOUP,3,/images/recipe/french onion soup/1.png,Thinly slice 3-4 medium white onions.
FRENCH ONION SOUP,4,/images/recipe/french onion soup/2.png,"Get a medium-large sauce pan on medium heat, add 2 tbsp of butter, then add the sliced onions. Cook for 20-30 minutes until the onions become a dark amber color."
FRENCH ONION SOUP,5,/images/recipe/french onion soup/3.png,"Keep in mind that the onions can tend to burn during this process if you’re to careful, so make sure to add some liquid (water, wine, or vinegar) to deglaze and slightly cool the pan every 10 minutes or so."
FRENCH ONION SOUP,6,/images/recipe/french onion soup/4.png,"Once the onions are sweet, sticky, and dark, add the red wine, black pepper, bay leaf, thyme, salt, and sherry vinegar. Reduce for 5 minutes until the alcohol cooks off, then add the beef broth and continue cooking for 10-15 minutes. The broth should reduce by 1/4 or so, but no more than that."
FRENCH ONION SOUP,7,/images/recipe/french onion soup/5.png,"While the soup base is reducing slice up some baguette, or use some sort of round bun to fit the shape of your bowl perfectly. Trim around the edges of the bun to form a uniform circle shape,"
FRENCH ONION SOUP,8,/images/recipe/french onion soup/6.png,"then season it with olive oil, salt, and black pepper. Toast the slices of seasoned bread in a 350f oven for 5-10 minutes until they’re a crispy golden brown."
FRENCH ONION SOUP,9,/images/recipe/french onion soup/7.png,"Once the bread is toasted up and the soup is ready to go, fill a thick bake safe porcelain bowl with the soup base, top it off with the seasoned crouton (toasted bread), and a healthy portion of shredded or grated gruyere cheese. Place the bowl onto a baking tray and into a 500f oven or broiler until the cheese is bubbling over the sides and the top has a light amber color."
FRENCH ONION SOUP,10,/images/recipe/french onion soup/8.png,Take the bubbling soup out of the oven and allow to cool for 10 minutes before consuming. ENJOY!
BREAKFAST QUESADILLAS,1,/images/recipe/breakfast quesadillas/image.png,
BREAKFAST QUESADILLAS,2,/images/recipe/breakfast quesadillas/ingr.png,
BREAKFAST QUESADILLAS,3,/images/recipe/breakfast quesadillas/1.png,"Cook tortillas for about 30 seconds, or until it begins to bubble. Flip and cook for and additional 20 seconds before removing from heat."
BREAKFAST QUESADILLAS,4,/images/recipe/breakfast quesadillas/2.png,Store your tortillas in an air tight container so they stay warm and moist.
BREAKFAST QUESADILLAS,5,/images/recipe/breakfast quesadillas/3.png,"Start on the filling by cooking the chorizo in a medium sauce pan for 5-7 minutes, or until it begins to crisp up."
BREAKFAST QUESADILLAS,6,/images/recipe/breakfast quesadillas/4.png,"In a sauce pan on medium heat add 1/4 cup of milk, 3 eggs, and a pinch of salt. Begin to scramble the eggs to your liking."
BREAKFAST QUESADILLAS,7,/images/recipe/breakfast quesadillas/5.png,"Once the chorizo and eggs are done, place one fresh tortilla in a hot skillet. Top with shredded sharp cheddar, sliced serrano peppers, sliced red onion, hot scrambled eggs, crispy chorizo, and a few sprigs of cilantro. Top with some more cheddar and cap it off with another fresh tortilla."
BREAKFAST QUESADILLAS,8,/images/recipe/breakfast quesadillas/6.png,"Let it heat for a minute or so to give the cheese a chance to melt…then give it a good flip. Once the cheese is fully melted, remove it from the heat, halve or quarter it, and ENJOY!"
HONEY BAKED EGGS BENEDICT,1,/images/recipe/honey baked eggs benedict/image.png,
HONEY BAKED EGGS BENEDICT,2,/images/recipe/honey baked eggs benedict/imgr.png,
HONEY BAKED EGGS BENEDICT,3,/images/recipe/honey baked eggs benedict/1.png,Crack open 2 eggs and separate the yolks from the whites. We only need the yolks for this recipe. Bring 1/2 cup of melted butter to a simmer and slowly incorporate the butter into the yolks while you whisk.
HONEY BAKED EGGS BENEDICT,4,/images/recipe/honey baked eggs benedict/2.png,Continue to vigorously whisk until the mixture is thick enough to coat the back of a spoon. Store in a warm place and set aside until needed.
HONEY BAKED EGGS BENEDICT,5,/images/recipe/honey baked eggs benedict/3.png,"Peel and skin 1 sweet potato and 1 russet potato. I’m using a turning mandolin, but you can use a regular mandolin or simply julienne the potatoes into long thin strands. Fill a small pot 1/3 way up with canola oil and bring it to 350F. Lay out a few paper towels and begin frying a handful of the potato strands mixed together."
HONEY BAKED EGGS BENEDICT,6,/images/recipe/honey baked eggs benedict/4.png,"Fry for about 2 minutes on each side, or until they just begin to turn golden. Let them drain on the paper towels until needed."
HONEY BAKED EGGS BENEDICT,7,/images/recipe/honey baked eggs benedict/5.png,"While those drain, trim the tops of 1 bunch of asparagus. Season with salt, pepper, and a drizzle of olive oil. Transfer to a grill on medium to high heat and grill until they are a vibrant green. Add a few pieces of the honey glazed ham, just to give them some nice grill marks. Remove from heat and set aside until needed."
HONEY BAKED EGGS BENEDICT,8,/images/recipe/honey baked eggs benedict/6.png,"In a medium sauce pot filled three quarters up with water, bring the water to a rolling boil. Add a splash of white wine vinegar and give the water a few mixes. You want the water to be whirling when you lightly drop in 1-3 cracked eggs. Continue the whirling motion of the water for about 30 seconds after you drop in the eggs. Cook for 4-5 minutes for runny yolks, longer for more cooked eggs."
HONEY BAKED EGGS BENEDICT,9,/images/recipe/honey baked eggs benedict/7.png,"Once the eggs are cooked re-heat the hollandaise and season with 2 tsp of lemon juice, 1 tsp of smoked paprika, 1 tsp of cayenne pepper, and salt to taste. Spoon a little bit of the hollandaise sauce onto the plate."
HONEY BAKED EGGS BENEDICT,10,/images/recipe/honey baked eggs benedict/8.png,"Place a crispy potato cake on top of the sauce followed by a couple slices of honey glazed ham, some grilled asparagus, a couple poached eggs, and a hearty drizzle of the hollandaise. Sprinkle with a little bit of cayenne and all that’t left to do is enjoy."
BREAKFAST TOSTADA,1,/images/recipe/breakfast tostada/image.png,
BREAKFAST TOSTADA,2,/images/recipe/breakfast tostada/ingr.png,
BREAKFAST TOSTADA,3,/images/recipe/breakfast tostada/1.png,"Start by making homemade refried beans from scratch. Add 1 tbsp of canola oil to a small sauce pot on high heat. Toss in 1/4 onion, 1 split garlic clove, and pinch of cumin. Give this a stir and cook for about 2-3 minutes before adding 1/4 cup of hydrated pinto beans (hydrated for at least 2-3 hours before cooking) and let cook for 1 1/2 hours, or until the beans are very tender."
BREAKFAST TOSTADA,4,/images/recipe/breakfast tostada/2.png,"Once the beans are done cooking, transfer them to a food processor and blend on high speed for at least 5 minutes, or until the mixture is as fine as possible. Transfer the refried beans back into the sauce pan and let sit at low heat while you prep the rest of the meal, stirring occasionally."
BREAKFAST TOSTADA,5,/images/recipe/breakfast tostada/3.png,"Slice up 1/2 a jalepeno and add it to a bowl along with a 1/4 red onion, and some roughly picked cilantro leaves. Set aside."
BREAKFAST TOSTADA,6,/images/recipe/breakfast tostada/4.png,"On medium to high heat, add a splash of canola oil to a pan and crisp up a few corn tortillas. Cook for two minutes on each side, or until they are a light golden brown."
BREAKFAST TOSTADA,7,/images/recipe/breakfast tostada/5.png,Begin plating by adding a dollop of the refried beans to a serving plate and topping that with a crispy corn tortilla.
BREAKFAST TOSTADA,8,/images/recipe/breakfast tostada/6.png,"Quickly fry up an egg on medium to high heat, cook to your liking (I prefer 2-3 minutes)."
BREAKFAST TOSTADA,9,/images/recipe/breakfast tostada/7.png,"Once the egg is ready to go, add a few dollops of refried beans to the top of the crispy corn tortilla, followed by the fried egg. Toss the veggie melody with a squeeze of lime and a pinch of salt before adding a small handful to the top of the tostada. Season with a pinch of salt, pepper, chili powder, and ENJOY!"
CRISPY EGGS BENEDICT,1,/images/recipe/crispy eggs benedict/image.png,
CRISPY EGGS BENEDICT,2,/images/recipe/crispy eggs benedict/imgr.png,
CRISPY EGGS BENEDICT,3,/images/recipe/crispy eggs benedict/1.png,"Start by making the Avocado spread. Add the meat of 1 ripe avocado to a small mixing bowl. Add 2 tsp of chopped parsley, the juice of 1 small lemon, salt to taste, 1 tsp ground cumin, 1 tsp chili flakes, and 2 tbsp olive oil. Give this a quick mash/mix and set aside."
CRISPY EGGS BENEDICT,4,/images/recipe/crispy eggs benedict/2.png,"Begin making the hollandaise sauce by adding 1 egg yolk to a small sauce pan. Begin whisking the yolk. As you continue to whisk, slowly add in half of the melted butter (1/4 cup) just a drizzle at a time. Do not add all the butter at once and be sure to continue whisking throughout the process; otherwise you risk the whole sauce being broken."
CRISPY EGGS BENEDICT,5,/images/recipe/crispy eggs benedict/3.png,"While continuing to whisk, return the pot to medium heat for one minute. Remove from heat and slowly add in the remainder of the melted butter, continuing whisking until the sauce generously coats the back of a spoon."
CRISPY EGGS BENEDICT,6,/images/recipe/crispy eggs benedict/4.png,"Once you’ve reached the desired consistency, return the pot to medium heat and allow the sauce to set up for 1 minute while continuing to whisk. Remove from heat and add 1 squeeze of lemon, 2 tsp chili powder, and salt to taste. Give this a quick mix and set aside."
CRISPY EGGS BENEDICT,7,/images/recipe/crispy eggs benedict/5.png,"Next up halve 1 bunch of asparagus lengthwise. Season the asparagus, and 1 thick slice of sour dough bread, with a drizzle of olive oil, salt, and pepper to taste."
CRISPY EGGS BENEDICT,8,/images/recipe/crispy eggs benedict/6.png,"Transfer the bread and asparagus to a grill top on medium to high heat. Grill both sides of the bread and asparagus for about 1-2 minutes, or until both sides are cooked perfectly."
CRISPY EGGS BENEDICT,9,/images/recipe/crispy eggs benedict/7.png,"Once everything is nice and toasted, remove the bread from the grill and top with a generous smear of the avocado spread. Top that with the grilled asparagus."
CRISPY EGGS BENEDICT,10,/images/recipe/crispy eggs benedict/8.png,"Lastly, cook two crispy eggs for about 3-4 minutes. You can find the full recipe for crispy eggs."
CRISPY EGGS BENEDICT,11,/images/recipe/crispy eggs benedict/9.png,"When the eggs are done cooking, remove them from the heat and gently blot off any excess grease with a paper towel. Add them to the top of the avocado toast."
CRISPY EGGS BENEDICT,12,/images/recipe/crispy eggs benedict/10.png,"Top it all off with a couple generous spoon fulls of the homemade Hollandaise Sauce, a few leaves of parsley, and a sprinkle of chili powder. Enjoy!"
BLUEBERRY PANCAKES,1,/images/recipe/blueberry pancakes/image.png,
BLUEBERRY PANCAKES,2,/images/recipe/blueberry pancakes/ingr.png,
BLUEBERRY PANCAKES,3,/images/recipe/blueberry pancakes/1.png,"Start by adding the dry ingredients into a large mixing bowl. Add 1 cup all purpose flour, 2 tbsp white granulated sugar, 1 tsp salt, 1 tsp baking powder, 1 tsp baking soda, and 1/2 of a skinned vanilla bean. Finish it off with the zest of half a lemon. Give the dry mix a good whisk, before adding the wet ingredients."
BLUEBERRY PANCAKES,4,/images/recipe/blueberry pancakes/2.png,"Next add 1 egg, 1 cup whole milk (may need less or extra depending on consistency), and 3 tbsp melted butter. Whisk for 2-3 mins, or just until the lumps are smoothed out."
BLUEBERRY PANCAKES,5,/images/recipe/blueberry pancakes/3.png,"Add in 3/4 cup blueberries. Give this a few mashes to open up the berries slightly, and then mix into the batter."
BLUEBERRY PANCAKES,6,/images/recipe/blueberry pancakes/4.png,Grease a skillet on high heat with a small amount of oil or butter. Ladle in the blueberry pancake batter. You can make these any size you like. Cook on each side until they are a nice golden brown. Repeat process for desired amount of pancakes.
BLUEBERRY PANCAKES,7,/images/recipe/blueberry pancakes/5.png,"I topped my short stake with a few pads of butter and a simple blueberry compote—made by reducing 1 cup blueberries, 1/2 cup rum, 1 cup water, and 1/2 cup sugar in a small sauce pan over medium heat. Cook until the blueberries become nice and syrupy."
BLUEBERRY PANCAKES,8,/images/recipe/blueberry pancakes/6.png,Top that with some reduce maple syrup—made my reducing 1 cup maple syrup on high heat for 7 minutes. Enjoy!
"EGGS, BACON, & HASH POTATOES",1,/images/recipe/eggs bacon and hash potatoes/image.png,
"EGGS, BACON, & HASH POTATOES",2,/images/recipe/eggs bacon and hash potatoes/ingr.png,
"EGGS, BACON, & HASH POTATOES",3,/images/recipe/eggs bacon and hash potatoes/1.png,"Dice up about a 1/2 cup of applewood smoked bacon and drop it into a sauté pan on medium heat. Crisp the bacon for about 5-7 minutes,or until it's nice and dark with a crispy exterior."
